
NODE_1328656,NODE_1336135
NODE_1337668,NODE_1337669
NODE_1336974,NODE_1340875
NODE_1319420,NODE_1336974
NODE_1346019,NODE_1327579
NODE_1327579,NODE_1339191
NODE_1338584,NODE_1338585
NODE_1338585,NODE_1338586
NODE_1319564,NODE_1319039
NODE_1341883,NODE_1341875
NODE_1341875,NODE_1341884
NODE_1320964,NODE_1341874
NODE_1338199,NODE_10248797
NODE_1341408,NODE_1338199
NODE_1341917,NODE_1322358
NODE_1322358,NODE_1341408
NODE_1341407,NODE_1341917
NODE_1335645,NODE_1345784
NODE_1341406,NODE_1335645
NODE_1342600,NODE_1322564
NODE_1322563,NODE_1342599
NODE_1342598,NODE_1322563
NODE_1342597,NODE_1342598
NODE_1345831,NODE_1342596
NODE_1342596,NODE_1342597
NODE_1341916,NODE_1341169
NODE_1341169,NODE_1341170
NODE_1322162,NODE_1341916
NODE_1341168,NODE_1322162
NODE_1341167,NODE_1341168
NODE_1341166,NODE_1341167
NODE_1345839,NODE_1322161
NODE_1322161,NODE_1341166
NODE_1346021,NODE_1341165
NODE_1339940,NODE_1340481
NODE_1340481,NODE_1345787
NODE_1339938,NODE_1340480
NODE_1340480,NODE_1339939
NODE_1320500,NODE_1340479
NODE_1340479,NODE_1339938
NODE_1335639,NODE_1339951
NODE_1339951,NODE_1320500
NODE_1342594,NODE_1342595
NODE_1322561,NODE_1342594
NODE_1335619,NODE_1342593
NODE_1342593,NODE_1322561
NODE_1338475,NODE_1319049
NODE_1319049,NODE_1340884
NODE_1345800,NODE_1338952
NODE_1338952,NODE_1342434
NODE_1342591,NODE_1342590
NODE_1342590,NODE_1340697
NODE_1322559,NODE_1342589
NODE_1342589,NODE_1331507
NODE_1341176,NODE_1322357
NODE_1322357,NODE_1341406
NODE_1319575,NODE_1341908
NODE_1337128,NODE_1341404
NODE_1341404,NODE_1319575
NODE_1331510,NODE_1322356
NODE_1322356,NODE_1341910
NODE_1322895,NODE_1341403
NODE_1341403,NODE_1331510
NODE_1335587,NODE_1341402
NODE_1341402,NODE_1322895
NODE_1345828,NODE_1341401
NODE_1341401,NODE_1331084
NODE_1331084,NODE_1341911
NODE_1341400,NODE_1322559
NODE_1342440,NODE_1341407
NODE_1341905,NODE_1341399
